iter	Passed	Remaining
253	596	1752
254	598	1749
255	601	1749
256	604	1747
257	606	1745
258	609	1744
259	611	1741
260	614	1739
261	616	1736
262	619	1734
263	621	1732
264	624	1730
265	626	1728
266	629	1728
267	631	1726
268	633	1722
269	636	1720
270	638	1718
271	641	1716
272	643	1713
273	645	1710
274	647	1707
275	650	1705
276	652	1703
277	654	1700
278	657	1698
279	659	1694
280	660	1691
281	662	1687
282	665	1685
283	667	1682
284	669	1679
285	670	1674
286	673	1672
287	675	1671
288	677	1667
289	679	1664
290	682	1662
291	683	1658
292	685	1654
293	687	1651
294	689	1648
295	691	1645
296	693	1641
297	695	1639
298	697	1635
299	699	1632
300	701	1629
301	704	1627
302	706	1624
303	707	1620
304	710	1617
305	711	1614
306	713	1610
307	715	1608
308	717	1604
309	719	1600
310	720	1596
311	722	1594
312	724	1591
313	727	1590
314	729	1587
315	731	1584
316	733	1580
317	735	1577
318	737	1574
319	739	1571
320	741	1568
321	743	1565
322	745	1561
323	746	1557
324	748	1554
325	750	1550
326	752	1547
327	753	1544
328	755	1541
329	757	1538
330	759	1535
331	761	1531
332	762	1528
333	764	1525
334	766	1521
335	768	1519
336	770	1516
337	772	1513
338	774	1510
339	776	1508
340	778	1504
341	780	1501
342	782	1498
343	784	1495
344	785	1491
345	787	1488
346	789	1485
347	791	1482
348	793	1479
349	795	1476
350	796	1473
351	798	1469
352	800	1466
353	801	1462
354	803	1459
355	804	1456
356	806	1452
357	808	1449
358	809	1445
359	811	1442
360	813	1439
361	814	1436
362	816	1433
363	818	1429
364	819	1425
365	821	1422
366	823	1420
367	824	1416
368	826	1413
369	828	1411
370	830	1408
371	832	1405
372	834	1403
373	836	1400
374	838	1398
375	841	1396
376	844	1395
377	846	1393
378	849	1391
379	851	1388
380	853	1386
381	855	1384
382	859	1383
383	861	1381
384	863	1379
385	865	1377
386	867	1374
387	869	1372
388	872	1369
389	873	1366
390	876	1364
391	878	1362
392	880	1359
393	882	1357
394	885	1355
395	887	1353
396	889	1350
397	890	1347
398	892	1344
399	894	1341
400	896	1339
401	898	1335
402	899	1332
403	901	1329
404	903	1327
405	905	1325
406	907	1322
407	909	1320
408	911	1317
409	913	1315
410	915	1312
411	917	1310
412	919	1307
413	921	1304
414	923	1302
415	925	1299
416	927	1296
417	928	1293
418	931	1291
419	932	1288
420	934	1285
421	936	1282
422	938	1279
423	939	1276
424	941	1273
425	943	1271
426	945	1269
427	950	1269
